1,9.07,8.84
2,9.34,8.98  
3,9.18,8.88
4,9.06,8.83
8,9.05,8.84
10,10.13,9.48
11,10.19,9.75
12,10.02,9.66
14,10.02,9.66
1,10.02,9.75,10.0,45420365.0
2,10.1,9.74,9.94,31609817.0
3,10.01,9.69,9.79,33196144.0
4,10.06,9.62,9.65,43278788.0
5,10.03,9.77,9.82,29607067.0
